 ,TEAM,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-,SEASON
3,Philadelphia 76ers,12,7,5,.583,48.0,116.3,42.5,85.8,49.6,11.2,28.4,39.3,20.1,29.3,68.5,9.0,35.7,44.7,24.9,12.8,8.0,6.2,3.8,23.0,23.8,7.5,2021
5,Atlanta Hawks,18,10,8,.556,48.0,106.3,38.9,86.8,44.9,11.7,34.2,34.3,16.7,20.9,79.8,9.1,33.3,42.4,20.2,12.4,6.7,4.4,4.3,21.2,20.3,-1.5,2021
6,Utah Jazz,11,6,5,.545,48.0,116.9,39.7,84.2,47.2,18.0,43.6,41.3,19.5,24.3,80.1,9.4,33.0,42.4,19.6,13.5,5.2,4.1,4.3,21.5,21.1,-0.8,2021
7,LA Clippers,19,10,9,.526,48.0,111.6,39.1,81.9,47.7,13.8,36.4,38.1,19.5,23.7,82.3,8.8,32.4,41.2,20.8,10.7,6.8,4.3,2.7,19.5,21.3,4.1,2021
8,Dallas Mavericks,7,3,4,.429,48.0,106.0,39.1,86.0,45.5,13.6,35.0,38.8,14.1,20.0,70.7,10.3,30.3,40.6,20.7,11.0,5.6,2.1,5.0,20.3,20.6,-5.1,2021
9,Denver Nuggets,10,4,6,.400,49.0,114.8,42.1,92.2,45.7,14.7,38.5,38.2,15.9,20.9,76.1,11.7,31.9,43.6,24.9,11.2,6.1,4.3,4.9,20.4,20.3,-5.5,2021
10,Los Angeles Lakers,6,2,4,.333,48.0,97.5,34.3,83.0,41.4,9.8,32.8,29.9,19.0,24.5,77.6,10.5,32.7,43.2,19.3,13.8,6.7,4.0,5.0,20.5,21.0,-6.5,2021
10,Portland Trail Blazers,6,2,4,.333,49.7,119.5,42.0,88.3,47.5,16.2,39.2,41.3,19.3,22.7,85.3,9.3,32.3,41.7,22.8,11.8,5.2,5.5,4.5,23.2,20.2,-1.3,2021
12,Boston Celtics,5,1,4,.200,48.0,112.2,38.4,88.2,43.5,12.8,36.6,35.0,22.6,27.4,82.5,12.6,28.8,41.4,21.0,13.0,6.4,7.0,6.6,21.0,23.4,-11.2,2021
12,Memphis Grizzlies,5,1,4,.200,48.0,115.0,44.2,94.4,46.8,10.4,31.6,32.9,16.2,20.4,79.4,11.2,30.0,41.2,22.0,10.4,8.0,4.0,6.2,20.6,19.2,-8.4,2021
12,New York Knicks,5,1,4,.200,48.0,97.0,34.4,86.4,39.8,10.4,30.4,34.2,17.8,21.8,81.7,11.8,34.6,46.4,18.6,12.2,5.8,2.8,6.8,19.8,19.0,-7.0,2021
12,Washington Wizards,5,1,4,.200,48.0,110.0,40.6,88.6,45.8,7.0,24.2,28.9,21.8,29.0,75.2,10.6,32.8,43.4,22.4,13.4,4.8,4.8,7.2,24.0,23.8,-14.0,2021
16,Miami Heat,4,0,4,.000,49.3,98.0,35.3,89.3,39.5,12.0,35.8,33.6,15.5,20.3,76.5,9.0,33.3,42.3,21.5,14.0,7.3,3.5,3.0,20.5,20.0,-20.5,2021
1,Los Angeles Lakers,21,16,5,.762,48.0,112.8,41.0,84.0,48.9,12.1,34.2,35.4,18.6,24.6,75.8,10.6,33.5,44.1,25.6,15.4,8.0,5.3,3.1,22.7,22.4,6.9,2020
2,Miami Heat,21,14,7,.667,48.5,110.0,37.7,82.0,46.0,12.8,35.5,35.9,21.8,26.4,82.5,7.8,33.6,41.3,24.9,13.2,6.9,3.9,4.5,19.9,22.6,2.0,2020
3,Toronto Raptors,11,7,4,.636,48.9,109.4,39.1,88.5,44.2,14.6,40.3,36.3,16.5,21.3,77.8,8.2,36.5,44.6,24.8,13.1,7.1,5.5,5.0,22.5,20.3,4.1,2020
4,Boston Celtics,17,10,7,.588,48.9,109.4,38.6,84.9,45.4,12.4,36.4,34.1,19.8,24.2,81.6,8.8,36.5,45.2,22.6,13.9,6.7,4.8,4.8,22.3,22.0,5.0,2020
5,LA Clippers,13,7,6,.538,48.4,114.0,40.9,86.4,47.4,12.1,32.8,36.8,20.1,25.2,79.8,9.5,34.5,44.0,21.2,13.0,7.5,3.7,4.1,22.9,22.3,4.2,2020
6,Milwaukee Bucks,10,5,5,.500,48.5,111.1,40.1,87.1,46.0,13.3,37.1,35.8,17.6,24.3,72.4,9.4,37.3,46.7,24.3,14.9,7.2,4.2,3.6,21.7,21.2,1.2,2020
7,Denver Nuggets,19,9,10,.474,48.3,107.4,38.8,82.5,47.1,12.3,32.4,37.9,17.5,21.4,81.6,9.3,31.4,40.6,22.5,13.9,6.2,4.0,4.0,22.4,22.1,-2.3,2020
8,Oklahoma City Thunder,7,3,4,.429,48.7,104.0,36.7,85.4,43.0,12.0,36.6,32.8,18.6,24.0,77.4,9.0,40.9,49.9,17.9,17.0,5.3,4.0,3.9,17.1,23.0,-6.4,2020
8,Utah Jazz,7,3,4,.429,48.7,113.4,39.9,81.9,48.7,15.7,37.3,42.1,18.0,23.3,77.3,9.3,31.9,41.1,21.4,12.0,6.1,3.1,4.6,19.0,21.3,3.4,2020
10,Houston Rockets,12,5,7,.417,48.4,107.7,37.4,85.8,43.6,16.9,46.8,36.2,15.9,20.2,78.9,6.7,32.2,38.8,21.3,13.4,9.1,3.5,4.9,22.2,18.6,0.8,2020
11,Dallas Mavericks,6,2,4,.333,48.8,117.0,42.2,89.2,47.3,13.5,37.5,36.0,19.2,26.5,72.3,7.7,35.5,43.2,21.5,12.7,6.5,3.7,3.3,22.5,24.5,-9.7,2020
12,Orlando Magic,5,1,4,.200,48.0,107.0,37.2,88.6,42.0,15.0,39.8,37.7,17.6,21.0,83.8,6.6,36.4,43.0,23.8,14.6,6.8,3.2,3.8,21.0,20.6,-9.2,2020
12,Portland Trail Blazers,5,1,4,.200,48.0,106.6,37.6,88.2,42.6,11.6,30.6,37.9,19.8,25.0,79.2,9.8,33.0,42.8,17.8,16.0,7.4,3.6,5.8,25.0,22.8,-10.6,2020
14,Brooklyn Nets,4,0,4,.000,48.0,105.8,36.3,91.3,39.7,15.5,46.0,33.7,17.8,24.5,72.4,9.3,35.0,44.3,25.8,14.5,5.0,4.5,5.5,21.3,22.5,-20.5,2020
14,Indiana Pacers,4,0,4,.000,48.0,100.8,36.5,80.3,45.5,12.0,32.0,37.5,15.8,20.3,77.8,5.8,30.8,36.5,22.5,15.3,9.3,5.5,4.3,23.3,15.8,-10.5,2020
14,Philadelphia 76ers,4,0,4,.000,48.0,100.5,33.3,84.0,39.6,8.0,30.3,26.4,26.0,32.0,81.3,12.3,33.8,46.0,17.5,12.0,5.0,4.5,5.5,22.3,24.3,-11.8,2020
1,Milwaukee Bucks,15,10,5,.667,48.7,112.8,39.8,88.3,45.1,12.8,38.1,33.6,20.4,28.0,72.9,10.1,41.8,51.9,25.0,13.0,6.7,6.4,4.7,21.8,23.3,8.8,2019
1,Toronto Raptors,24,16,8,.667,48.4,106.6,37.7,84.8,44.4,11.9,34.5,34.6,19.3,23.3,83.0,8.3,34.0,42.3,22.5,12.1,8.0,4.6,5.0,22.6,21.8,5.5,2019
3,Golden State Warriors,22,14,8,.636,48.5,114.1,41.1,86.1,47.7,12.2,32.7,37.2,19.8,24.3,81.3,10.1,33.2,43.3,28.4,14.9,7.4,5.7,3.9,23.2,22.3,3.4,2019
4,Philadelphia 76ers,12,7,5,.583,48.0,108.7,39.4,85.8,45.9,9.4,28.4,33.1,20.4,25.8,79.0,11.4,37.1,48.5,24.4,16.5,6.3,5.4,3.4,22.4,22.1,3.0,2019
5,Boston Celtics,9,5,4,.556,48.0,102.1,35.7,84.1,42.4,11.3,33.0,34.3,19.4,24.2,80.3,7.4,40.3,47.8,21.4,14.8,5.9,3.8,4.3,20.8,21.0,-1.4,2019
6,Houston Rockets,11,6,5,.545,48.5,108.5,37.2,83.8,44.4,15.6,42.7,36.6,18.5,24.3,76.4,9.6,33.3,42.9,18.3,15.8,8.5,5.1,4.6,21.6,21.5,3.2,2019
7,Denver Nuggets,14,7,7,.500,49.4,109.1,39.9,90.2,44.3,9.6,27.8,34.4,19.7,25.2,78.2,13.1,34.6,47.7,24.0,9.8,5.7,4.6,4.7,21.3,21.9,1.9,2019
7,Portland Trail Blazers,16,8,8,.500,49.6,109.7,39.4,90.4,43.6,11.8,32.8,36.0,19.0,24.8,76.6,11.4,33.8,45.2,19.8,12.9,6.9,5.1,5.9,22.8,22.8,-1.4,2019
9,San Antonio Spurs,7,3,4,.429,48.0,103.3,39.4,85.1,46.3,6.7,19.9,33.8,17.7,23.0,77.0,10.7,34.4,45.1,21.1,8.4,4.6,4.0,3.6,19.4,20.0,-1.9,2019
10,LA Clippers,6,2,4,.333,48.0,114.7,39.8,89.2,44.7,11.5,31.7,36.3,23.5,28.8,81.5,10.0,30.2,40.2,25.3,15.0,8.0,3.3,7.5,25.0,25.8,-9.8,2019
11,Brooklyn Nets,5,1,4,.200,48.0,111.4,38.4,91.4,42.0,11.0,34.0,32.4,23.6,29.2,80.8,11.2,29.2,40.4,19.2,14.2,7.6,2.8,6.0,22.8,24.2,-11.0,2019
11,Oklahoma City Thunder,5,1,4,.200,48.0,105.2,37.8,86.0,44.0,10.4,31.4,33.1,19.2,25.4,75.6,10.2,33.0,43.2,22.6,15.2,6.6,5.4,5.8,24.2,23.4,-5.8,2019
11,Orlando Magic,5,1,4,.200,48.0,92.0,32.2,83.0,38.8,10.4,34.8,29.9,17.2,22.2,77.5,9.6,33.8,43.4,19.0,15.6,6.6,4.0,4.2,18.8,23.0,-14.4,2019
11,Utah Jazz,5,1,4,.200,48.0,97.8,34.6,86.4,40.0,9.4,35.8,26.3,19.2,25.6,75.0,11.8,35.4,47.2,23.0,15.2,9.2,5.4,7.0,21.8,21.4,-9.2,2019
15,Detroit Pistons,4,0,4,.000,48.0,98.0,37.5,96.8,38.8,11.0,33.3,33.1,12.0,16.5,72.7,10.8,31.5,42.3,23.0,10.5,7.3,4.0,8.8,24.3,20.0,-23.8,2019
15,Indiana Pacers,4,0,4,.000,48.0,91.8,33.5,83.5,40.1,10.0,29.8,33.6,14.8,20.5,72.0,8.0,32.3,40.3,20.8,12.0,8.3,3.5,3.0,20.0,19.5,-7.5,2019
1,Golden State Warriors,21,16,5,.762,48.2,110.4,41.2,86.0,48.0,11.2,31.4,35.7,16.8,20.4,82.2,9.1,35.9,45.0,26.0,12.9,7.9,5.8,3.6,19.7,19.4,10.0,2018
2,Houston Rockets,17,11,6,.647,48.0,104.9,37.2,85.3,43.6,13.4,39.8,33.7,17.2,22.2,77.2,8.8,34.2,43.0,18.8,12.1,8.1,5.5,4.4,19.1,19.5,1.8,2018
3,Boston Celtics,19,11,8,.579,48.5,101.4,36.4,83.3,43.7,10.5,30.6,34.3,18.1,23.5,76.7,8.8,32.8,41.7,21.2,11.6,6.8,4.1,5.6,20.4,21.4,0.7,2018
4,New Orleans Pelicans,9,5,4,.556,48.0,110.0,42.9,89.8,47.8,9.9,27.0,36.6,14.3,18.3,78.2,7.9,37.7,45.6,26.9,14.4,8.1,5.0,4.9,19.3,19.0,-0.8,2018
5,Cleveland Cavaliers,22,12,10,.545,48.5,101.1,36.9,81.9,45.0,10.0,30.3,33.1,17.4,23.1,75.2,9.8,31.6,41.4,19.2,12.7,6.0,4.4,4.4,19.5,21.9,-1.7,2018
6,Philadelphia 76ers,10,5,5,.500,48.5,108.8,38.7,88.5,43.7,9.9,29.3,33.8,21.5,28.3,76.0,13.4,36.1,49.5,25.8,14.6,7.8,4.1,5.9,22.8,25.5,3.9,2018
7,Utah Jazz,11,5,6,.455,48.0,102.4,37.7,82.9,45.5,10.7,29.9,35.9,16.2,23.5,68.7,9.4,35.6,45.0,20.3,15.5,7.5,5.0,5.5,20.5,20.9,-2.2,2018
8,Indiana Pacers,7,3,4,.429,48.0,100.6,38.6,80.1,48.1,9.7,27.1,35.8,13.7,19.3,71.1,8.1,31.9,40.0,21.1,13.1,8.1,2.7,3.6,21.9,20.3,5.7,2018
8,Milwaukee Bucks,7,3,4,.429,48.7,101.9,39.1,78.3,50.0,9.6,25.7,37.2,14.0,19.9,70.5,5.6,33.0,38.6,22.0,13.1,6.6,6.7,4.1,22.9,19.4,-0.6,2018
10,Toronto Raptors,10,4,6,.400,48.5,107.3,38.9,82.3,47.3,10.4,26.7,39.0,19.1,23.9,79.9,9.4,30.7,40.1,21.8,14.0,5.7,6.1,4.8,22.6,20.3,-4.4,2018
11,Oklahoma City Thunder,6,2,4,.333,48.0,101.2,37.2,86.5,43.0,10.5,28.8,36.4,16.3,21.2,77.2,9.3,34.7,44.0,16.3,14.0,8.8,4.2,5.5,21.7,20.7,-4.3,2018
11,Washington Wizards,6,2,4,.333,48.0,107.2,39.7,85.2,46.6,8.0,21.8,36.6,19.8,23.3,85.0,8.5,31.5,40.0,23.3,13.5,7.8,5.2,6.2,21.0,21.3,-2.0,2018
13,Miami Heat,5,1,4,.200,48.0,103.4,36.6,82.8,44.2,10.8,27.6,39.1,19.4,28.6,67.8,9.6,31.4,41.0,23.8,16.0,8.8,6.4,4.2,29.2,24.0,-10.8,2018
13,Minnesota Timberwolves,5,1,4,.200,48.0,101.6,38.0,82.6,46.0,9.0,21.8,41.3,16.6,22.8,72.8,8.6,36.6,45.2,22.4,12.6,5.0,3.2,6.2,18.2,17.6,-8.8,2018
13,San Antonio Spurs,5,1,4,.200,48.0,96.8,34.6,83.8,41.3,8.4,28.2,29.8,19.2,23.0,83.5,8.4,29.2,37.6,19.0,11.0,7.6,3.0,5.0,20.4,19.8,-8.8,2018
16,Portland Trail Blazers,4,0,4,.000,48.0,105.5,41.3,91.0,45.3,10.8,32.3,33.3,12.3,15.8,77.8,11.3,32.3,43.5,19.0,14.5,8.3,3.8,6.5,20.5,19.5,-9.0,2018
1,Golden State Warriors,17,16,1,.941,48.0,119.3,42.9,87.0,49.4,12.7,32.9,38.6,20.7,25.4,81.5,9.3,36.5,45.8,28.2,13.6,8.7,6.1,3.8,21.8,21.6,13.5,2017
2,Cleveland Cavaliers,18,13,5,.722,48.0,116.2,40.9,83.1,49.3,14.2,33.9,42.0,20.1,26.2,76.7,9.2,32.9,42.2,22.1,13.1,7.4,4.7,3.8,18.8,22.3,7.9,2017
3,Houston Rockets,11,6,5,.545,48.5,107.7,37.3,85.0,43.9,12.8,38.5,33.3,20.4,25.8,78.9,9.9,33.0,42.9,19.5,14.0,7.7,4.6,7.0,20.9,19.5,1.2,2017
4,Washington Wizards,13,7,6,.538,48.4,108.1,40.1,87.6,45.7,8.4,26.5,31.7,19.5,24.6,79.4,11.2,31.8,43.0,22.8,13.8,7.9,6.6,4.4,23.0,22.5,0.0,2017
5,Boston Celtics,18,9,9,.500,48.3,105.2,38.4,84.1,45.7,12.7,34.4,36.9,15.7,20.3,77.3,9.4,28.5,37.9,26.9,13.4,7.7,4.1,5.2,20.8,19.0,-2.9,2017
5,San Antonio Spurs,16,8,8,.500,48.6,107.1,40.0,86.6,46.2,8.6,24.4,35.0,18.5,23.9,77.3,12.8,31.7,44.4,21.3,12.8,7.8,4.7,3.9,18.8,21.3,1.0,2017
7,LA Clippers,7,3,4,.429,48.0,97.7,36.4,77.0,47.3,8.1,23.4,34.8,16.7,24.0,69.6,7.7,30.0,37.7,18.4,12.1,6.3,2.4,3.1,20.3,20.9,-1.1,2017
8,Toronto Raptors,10,4,6,.400,48.0,96.7,35.3,79.5,44.4,7.8,23.5,33.2,18.3,22.5,81.3,6.8,32.5,39.3,19.6,12.9,7.4,4.4,5.0,20.9,19.9,-5.7,2017
9,Utah Jazz,11,4,7,.364,48.0,97.8,35.6,78.4,45.5,9.5,25.9,36.5,17.1,23.4,73.2,6.7,32.4,39.1,19.7,12.1,7.4,3.2,3.3,21.1,20.4,-4.7,2017
10,Atlanta Hawks,6,2,4,.333,48.0,105.5,37.5,84.5,44.4,8.3,27.3,30.5,22.2,29.0,76.4,11.3,33.0,44.3,22.3,16.0,6.0,3.3,7.5,21.3,24.8,-1.2,2017
10,Chicago Bulls,6,2,4,.333,48.0,96.5,36.3,82.5,44.0,7.0,23.5,29.8,16.8,19.8,84.9,12.5,34.2,46.7,20.0,15.3,7.2,5.2,3.7,18.3,17.2,-6.8,2017
10,Memphis Grizzlies,6,2,4,.333,48.8,96.3,34.7,77.2,44.9,9.3,24.2,38.6,17.7,20.3,86.9,7.7,27.8,35.5,18.8,11.3,5.2,2.5,3.8,22.2,19.2,-8.3,2017
10,Milwaukee Bucks,6,2,4,.333,48.0,93.2,34.8,78.2,44.6,9.0,21.7,41.5,14.5,20.8,69.6,8.2,29.8,38.0,21.2,13.3,8.2,5.0,4.7,21.3,21.2,-0.7,2017
14,Oklahoma City Thunder,5,1,4,.200,48.0,104.2,38.6,87.4,44.2,8.4,27.0,31.1,18.6,27.0,68.9,12.2,31.4,43.6,19.8,12.8,8.4,8.0,5.0,22.2,22.6,-8.6,2017
15,Indiana Pacers,4,0,4,.000,48.0,108.8,40.5,87.0,46.6,11.3,28.8,39.1,16.5,21.5,76.7,11.8,30.3,42.0,22.5,13.3,8.0,3.8,6.3,22.8,18.3,-4.0,2017
15,Portland Trail Blazers,4,0,4,.000,48.0,101.5,35.5,89.5,39.7,11.0,34.0,32.4,19.5,24.3,80.4,10.0,34.0,44.0,15.8,15.3,7.3,4.8,10.3,21.8,18.8,-18.0,2017
1,Cleveland Cavaliers,21,16,5,.762,48.0,104.8,38.3,81.8,46.9,12.3,30.2,40.6,15.8,21.8,72.5,10.7,32.6,43.3,21.2,12.5,7.8,4.2,4.5,19.6,21.0,8.6,2016
2,Golden State Warriors,24,15,9,.625,48.2,107.7,38.9,85.6,45.5,12.8,32.4,39.3,17.1,23.3,73.5,10.5,32.7,43.2,24.3,14.0,8.0,5.5,5.2,22.0,22.1,4.4,2016
